Field1,Objective,BloodID,PlateID,CqGAPDH,U_PlateID,DiffGAPDH,EffGAPDH,CqTelomere,DiffTelomere,EffTelomere,RTL,ID,Whodunnit,BirdID,LayYear,RightTarsus,LeftTarsus,BodyMass,EyeColour,Ageclass,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,SexEstimate,MaxOfMaxOfSeenDate
41,1,5,13,37.799,1_13,1.372,1.867666667,25.7615,25.801,1.487666667,46.01677026,41,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
42,1,2421,13,23.798,1_13,0.089,1.833666667,14.16166667,0.7,1.659,0.864862296,42,EB,510,1993,25.8,25.7,15.5,,A,22,720,27/07/1997,50,59,BrM,1,16/01/2007
43,1,2423,13,23.90666667,1_13,0.068,1.885333333,13.09966667,0.23,1.723333333,1.672285132,43,EB,455,1992,23.9,23.9,15.2,,A,22,723,29/07/1997,41,48,BrF,0,14/08/1997
44,1,2436,13,24.54433333,1_13,0.21,1.889333333,14.315,0.346,1.725,1.293009909,44,EB,1040,1995,26.7,26.4,17.2,,A,22,729,03/08/1997,82,109,BrM,1,23/06/2006
45,1,2442,13,23.711,1_13,0.321,1.878666667,13.966,0.295,1.693666667,0.902859582,45,EB,628,1993,23.9,24.4,14.4,,A,22,732,07/08/1997,62,76,BrF,0,04/06/2004
46,1,2496,13,23.71433333,1_13,0.316,1.865666667,13.058,0.763,1.698666667,1.48452458,46,EB,501,1994,26.6,26.3,16.9,,A,23,758,27/12/1997,119,2,BrM,1,18/12/2004
47,1,2497,13,23.99666667,1_13,0.135,1.870666667,13.123,0.438,1.700333333,1.709186761,47,EB,927,1994,25.3,24.7,15.5,,A,23,758,27/12/1997,119,2,BrF,0,27/12/2003
48,1,2498,13,24.221,1_13,0.25,1.865333333,13.93066667,0.419,1.697,1.28063078,48,EB,1244,1997,23.2,22.8,14.0,,SA,23,759,28/12/1997,119,2,SEEN1,0,17/07/2008
48,1,2498,13,24.221,1_13,0.25,1.865333333,13.93066667,0.419,1.697,1.28063078,48,EB,1244,1997,23.2,22.8,14.0,,SA,23,759,28/12/1997,139,47,ABX,0,17/07/2008
49,1,1,14,8.329666667,1_14,0.056,2.097,10.96833333,0.479,1.729,0.0000387,49,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
50,1,2,14,18.02633333,1_14,0.442,1.994,14.982,0.225,1.748333333,0.008085421,50,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
51,1,3,14,17.60166667,1_14,0.287,1.982,19.416,0.162,1.758666667,0.000516954,51,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
52,1,4,14,20.23033333,1_14,0.112,1.971333333,23.069,0.293,1.748666667,0.000426492,52,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
53,1,5,14,24.29066667,1_14,0.066,1.979333333,26.5305,26.593,1.483,0.006308492,53,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
54,1,6,14,28.299,1_14,0.218,1.926333333,28.44033333,0.182,1.74,0.005030011,54,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
55,1,2594,14,23.93633333,1_14,0.209,1.894666667,13.73933333,0.466,1.679333333,0.96092166,55,EB,1020,1995,26.1,26,17.1,,A,23,767,15/01/1998,130,23,BrM,1,11/09/2002
56,1,2595,14,23.97233333,1_14,0.375,1.912333333,13.29366667,1.044,1.672666667,1.21650644,56,EB,837,1994,26.0,25.8,17.1,,A,23,767,15/01/1998,120,3,BrM,1,05/08/1998
57,1,2597,14,24.06766667,1_14,0.215,1.876,13.87366667,0.344,1.692333333,0.994851614,57,EB,884,1995,26.9,26.9,16.1,,A,23,769,16/01/1998,158,89,BrM,1,27/03/1998
58,1,2605,14,23.99,1_14,0.388,1.939,13.23466667,0.633,1.691333333,1.275166695,58,EB,1271,1996,24.4,24.1,14.9,,A,23,774,25/01/1998,185,168,BrF,0,10/12/2005
59,1,2606,14,23.75366667,1_14,0.346,1.903,13.15833333,0.588,1.699,1.175443191,59,EB,1272,1996,24.5,24.4,14.0,,A,23,774,25/01/1998,185,168,ABX,0,03/07/2006
60,1,2621,14,24.133,1_14,0.13,1.885333333,13.135,0.829,1.680666667,1.500297944,60,EB,1170,1997,25.1,25.2,14.9,,SA,23,784,12/02/1998,161,95,SEEN1,0,05/08/2008
60,1,2621,14,24.133,1_14,0.13,1.885333333,13.135,0.829,1.680666667,1.500297944,60,EB,1170,1997,25.1,25.2,14.9,,SA,23,784,12/02/1998,174,135,ABX,0,05/08/2008
61,1,2622,14,23.77466667,1_14,0.27,1.886333333,13.35466667,0.15,1.69,1.07636047,61,EB,917,1994,26.5,26.3,16.6,,A,23,784,12/02/1998,161,95,BrM,1,05/07/2001
62,1,1,15,8.248333333,1_15,0.075,2.050333333,10.11,0.367,1.775333333,0.0000551,62,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
63,1,2,15,17.92866667,1_15,0.123,1.957,13.78533333,0.142,1.76,0.009674932,63,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
64,1,3,15,17.62233333,1_15,0.161,1.970333333,18.32966667,0.22,1.780333333,0.00054594,64,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
65,1,4,15,20.18433333,1_15,0.112,1.967333333,21.68,0.331,1.765333333,0.000483073,65,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
66,1,5,15,24.17833333,1_15,0.087,1.937,23.932,24.023,1.505333333,0.009927949,66,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
67,1,6,15,28.369,1_15,0.113,1.935333333,24.71833333,0.283,1.756666667,0.021791064,67,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
68,1,2523,15,26.26433333,1_15,0.555,1.855666667,15.68833333,0.706,1.728666667,0.857130837,68,EB,1160,1996,24.5,24.7,15.0,,A,22,685,11/07/1997,84,112,BrF,0,04/12/1999
69,1,2623,15,23.90966667,1_15,0.456,1.892333333,13.09933333,0.331,1.727666667,0.806960502,69,EB,64,1987,24.5,24.4,14.1,,A,23,784,12/02/1998,164,103,BrF,0,12/02/1998
70,1,2624,15,23.94866667,1_15,0.262,1.913333333,12.14966667,0.246,1.702333333,1.33815732,70,EB,528,1993,25.0,24.7,14.1,,A,23,784,12/02/1998,164,103,H,0,24/03/1998
71,1,2626,15,23.60566667,1_15,0.518,1.791666667,11.106,0.498,1.618666667,1.769546601,71,EB,1045,1996,23.3,25.1,15.8,,A,23,783,12/02/1998,2315,33,ABX,1,08/07/2001
71,1,2626,15,23.60566667,1_15,0.518,1.791666667,11.106,0.498,1.618666667,1.769546601,71,EB,1045,1996,23.3,25.1,15.8,,A,23,783,12/02/1998,158,89,SEEN2,1,08/07/2001
72,1,2628,15,23.76466667,1_15,0.439,1.959,12.09666667,0.239,1.743,1.240310835,72,EB,868,1995,25.8,25.8,16.4,,A,23,787,17/02/1998,127,16,BrM,1,23/08/1998
73,1,2637,15,24.16066667,1_15,0.459,1.876333333,11.70333333,0.376,1.707666667,1.992883434,73,EB,522,1993,24.2,23.9,13.5,,A,23,792,03/03/1998,155,86,BrF,0,02/12/1999
74,1,2643,15,24.36333333,1_15,0.406,1.894666667,12.77966667,0.329,1.719,1.274954443,74,EB,1301,1996,26.3,26.2,14.6,,A,23,795,08/03/1998,165,104,SEEN1,1,24/03/1998
75,1,1,16,8.348,1_16,0.123,2.080333333,11.24433333,0.381,1.75,0.0000865,75,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
76,1,2,16,17.934,1_16,0.096,1.962666667,15.29633333,0.312,1.742,0.015072707,76,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
77,1,3,16,17.625,1_16,0.082,1.982666667,19.82266667,0.195,1.736333333,0.000931655,77,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
78,1,4,16,20.215,1_16,0.107,1.938,23.37833333,0.375,1.752,0.000806443,78,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
79,1,5,16,24.168,1_16,0.08,1.948333333,27.1575,27.19,1.492333333,0.007533662,79,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
80,1,6,16,28.421,1_16,0.3,1.935333333,29.73666667,0.243,1.722333333,0.006512702,80,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
81,1,2645,16,24.31133333,1_16,0.544,1.898,13.28333333,0.296,1.683666667,3.134282517,81,EB,1028,1995,25.8,26,16.1,,A,23,796,10/03/1998,179,155,BrM,1,20/11/1999
82,1,2646,16,24.169,1_16,0.273,1.864333333,13.325,0.047,1.684333333,2.84376399,82,EB,1303,1996,26.0,25.9,13.6,,A,23,798,11/03/1998,162,101,U,1,11/03/1998
83,1,2647,16,24.55466667,1_16,0.116,1.901,13.975,0.262,1.703333333,2.622864384,83,EB,1304,1997,25.3,24.9,14.9,,SA,23,801,13/03/1998,177,141,SEEN1,0,24/08/1999
84,1,2649,16,23.925,1_16,0.338,1.878,13.41366667,0.958,1.697,2.365089165,84,EB,467,1992,26.7,26.5,15.8,,A,23,803,19/03/1998,146,67,BrM,1,07/12/1999
85,1,2652,16,23.85433333,1_16,0.557,1.868,13.76533333,0.472,1.691,1.872608973,85,EB,220,1988,26.0,25.9,15.0,,A,23,807,23/03/1998,132,26,BrM,1,04/07/2001
86,1,2653,16,23.875,1_16,0.059,1.869666667,13.38366667,0.132,1.658333333,2.187945127,86,EB,1029,1996,26.8,26.6,16.1,,A,23,806,22/03/1998,2318,43,BrM,1,31/08/2010
87,1,2658,16,23.94233333,1_16,0.273,1.874333333,14.459,0.366,1.704,1.388861236,87,EB,1158,1996,24.4,24.3,13.4,,A,25,813,23/06/1998,238,77,H,0,20/08/2002
88,1,1,17,8.330666667,1_17,0.066,2.075,10.93,0.035,1.74,0.0000666,88,EB,1758,2002,24.0,,14.9,,FL,41,1118,23/09/2002,811,58,FL,0,02/08/2005
89,1,2,17,18.02033333,1_17,0.153,1.972333333,14.847,0.123,1.724,0.012747494,89,EB,1757,2001,24.6,,15.6,,A,41,1117,23/09/2002,811,58,BrF,0,07/09/2010
90,1,3,17,17.848,1_17,0.364,1.968,19.66033333,0.121,1.729,0.000827827,90,EB,1523,1999,26.9,,18.5,,A,41,1118,23/09/2002,811,58,BrM,1,31/01/2013
91,1,4,17,20.22866667,1_17,0.059,1.974,23.22133333,0.474,1.752,0.000526354,91,EB,1891,2002,25.0,,13.5,G,OFL,41,1119,24/09/2002,842,128,OFL,0,01/12/2005
92,1,5,17,24.18433333,1_17,0.226,1.926666667,25.8045,25.96,1.496,0.009252975,92,EB,1759,2001,26.2,,,,A,41,1120,25/09/2002,853,171,U,1,03/08/2006
93,1,6,17,28.42666667,1_17,0.169,1.927333333,27.10033333,1.38,1.754666667,0.014310422,93,EB,1892,2001,24.0,,15.5,RB,A,41,1121,27/09/2002,3269,82,ABX,0,30/12/2004
94,1,2660,17,24.32066667,1_17,0.226,1.929,14.49233333,0.374,1.684333333,1.10526826,94,EB,1347,1997,23.0,23,14.6,,A,25,817,18/07/1998,213,40,BrF,0,12/01/1999
95,1,2664,17,23.81133333,1_17,0.287,1.902333333,13.98033333,0.096,1.681333333,1.048363648,95,EB,1370,1997,26.6,26.6,16.4,,A,25,819,23/07/1998,230,64,BrM,1,25/05/2004
96,1,2665,17,23.95266667,1_17,0.301,1.857666667,14.16033333,0.932,1.682333333,1.075237335,96,EB,607,1993,25.5,25.8,16.5,,A,25,819,23/07/1998,223,55,SEEN1,1,03/07/2001
96,1,2665,17,23.95266667,1_17,0.301,1.857666667,14.16033333,0.932,1.682333333,1.075237335,96,EB,607,1993,25.5,25.8,16.5,,A,25,819,23/07/1998,227,61,BrM,1,03/07/2001
