"","Objective","PlateID","BloodID","U_PlateID","Cq.GAPDH","Eff.GAPDH","Diff.GAPDH","Cq.Telomere","Eff.Telomere","Diff.Telomere","RTL","Whodunnit"
"800",3,16,1,"3_16",12.0926666666667,2.01133333333333,0.127000000000001,11.0796666666667,1.741,0.295,0.000812814853145343,"EB"
"801",3,16,2,"3_16",15.3916666666667,1.94833333333333,0.016,13.528,1.71666666666667,0.129,0.0028227364231669,"EB"
"802",3,16,3,"3_16",18.764,1.958,0.0689999999999991,17.888,1.74866666666667,0.117000000000001,0.00232692974254615,"EB"
"803",3,16,4,"3_16",22.295,1.924,0.0750000000000028,21.664,1.722,0.292999999999999,0.00353756842508003,"EB"
"804",3,16,5,"3_16",26.489,1.856,0.451000000000001,24.958,1.501,24.984,0.0347289013149005,"EB"
"805",3,16,6,"3_16",29.5743333333333,1.87833333333333,0.155999999999999,27.6506666666667,1.73566666666667,0.222000000000001,0.0130964216874676,"EB"
"806",3,16,3834,"3_16",24.5013333333333,1.90533333333333,0.570999999999998,14.367,1.684,0.114999999999998,0.786680448874806,"EB"
"807",3,16,3836,"3_16",24.0176666666667,1.889,0.215,13.306,1.69733333333333,0.316000000000001,1.02647183093088,"EB"
"808",3,16,3837,"3_16",24.0636666666667,1.918,0.195,14.0776666666667,1.66333333333333,0.182,0.676279712065156,"EB"
"809",3,16,3839,"3_16",23.0273333333333,1.91333333333333,0.219999999999999,12.8756666666667,1.68166666666667,0.352,0.653335029142719,"EB"
"810",3,16,3840,"3_16",23.9966666666667,1.873,0.266999999999999,14.0603333333333,1.67666666666667,0.661,0.679818262983246,"EB"
"811",3,16,3842,"3_16",23.8933333333333,1.86666666666667,0.141999999999999,14.0716666666667,1.675,0.295999999999999,0.636016559733251,"EB"
"812",3,16,3843,"3_16",24.2213333333333,1.866,0.116,14.1876666666667,1.68033333333333,0.763999999999999,0.737344775296133,"EB"
"813",3,16,3845,"3_16",24.2716666666667,1.98233333333333,0.591000000000001,14.2843333333333,1.66933333333333,0.048,0.673927991136197,"EB"
"814",3,2,1,"3_2",11.8196666666667,2.00466666666667,0.118,11.23,1.72766666666667,0.186,0.000636656880703609,"EB"
"815",3,2,2,"3_2",15.0083333333333,2.04766666666667,0.00999999999999979,15.68,1.71766666666667,0.111000000000001,0.000408828566326833,"EB"
"816",3,2,3,"3_2",18.5763333333333,1.93866666666667,0.361999999999998,19.6446666666667,1.73766666666667,0.25,0.000872571138514816,"EB"
"817",3,2,4,"3_2",21.953,2.02266666666667,0.0990000000000002,23.2083333333333,1.76,0.207999999999998,0.000877922040458396,"EB"
"818",3,2,5,"3_2",26.0386666666667,1.944,0.167999999999999,26.317,1.48066666666667,28.201,0.017228358484493,"EB"
"819",3,2,6,"3_2",29.0803333333333,1.961,0.344999999999999,28.3793333333333,1.72033333333333,0.381999999999998,0.00865327075439174,"EB"
"820",3,2,3126,"3_2",24.8103333333333,1.96233333333333,0.41,14.2413333333333,1.677,0.497000000000002,1.01156373641155,"EB"
"821",3,2,3143,"3_2",23.9206666666667,1.91733333333333,0.437000000000001,13.0076666666667,1.674,0.311000000000002,1.09196249772753,"EB"
"822",3,2,3144,"3_2",24.0776666666667,1.875,0.331,12.1066666666667,1.65033333333333,0.606,1.90339599627804,"EB"
"823",3,2,3151,"3_2",24.0703333333333,1.90233333333333,0.266999999999999,13.4726666666667,1.697,0.321,0.987134187058841,"EB"
"824",3,2,3159,"3_2",25.345,1.85066666666667,1.113,13.597,1.68933333333333,0.135,2.10440998475211,"EB"
"825",3,2,4319,"3_2",24.3213333333333,1.85033333333333,0.117000000000001,13.2463333333333,1.67066666666667,0.143000000000001,1.31368657923532,"EB"
"826",3,20,1,"3_20",11.9746666666667,2.01266666666667,0.0790000000000006,11.9623333333333,1.75433333333333,0.586,0.000487157119754837,"EB"
"827",3,20,2,"3_20",15.26,2.02066666666667,0.0640000000000001,13.772,1.767,0.391,0.00169500616252325,"EB"
"828",3,20,3,"3_20",18.692,1.98933333333333,0.0309999999999988,17.591,1.744,0.185000000000002,0.00247358145984168,"EB"
"829",3,20,4,"3_20",22.1206666666667,2.01533333333333,0.183,21.3806666666667,1.72633333333333,0.463999999999999,0.00330092616808989,"EB"
"830",3,20,5,"3_20",26.245,1.92033333333333,0.121000000000002,24.401,1.48766666666667,24.552,0.0478207195867546,"EB"
"831",3,20,6,"3_20",29.1993333333333,1.885,0.520999999999997,27.3506666666667,1.72366666666667,0.27,0.0137072687531747,"EB"
"832",3,20,3881,"3_20",24.1776666666667,1.94366666666667,0.227999999999998,14.566,1.684,0.0460000000000012,0.592335902498299,"EB"
"833",3,20,3884,"3_20",23.3806666666667,1.82533333333333,0.164999999999999,12.9953333333333,1.70366666666667,0.248999999999999,0.874848360792779,"EB"
"834",3,20,3887,"3_20",24.0925,1.84866666666667,1.414,13.488,1.69933333333333,0.27,1.02200768252398,"EB"
"835",3,20,3888,"3_20",23.9903333333333,1.85933333333333,0.146999999999998,13.0636666666667,1.68,0.254,1.18007025484575,"EB"
"836",3,20,3889,"3_20",24.5236666666667,1.81533333333333,0.252000000000002,15.6656666666667,1.614,0.0470000000000006,0.452471767110598,"EB"
